year,area,production
2016,408132.0,1131872
1997,5239.0,63011
2012,1905.0,2282
2011,219.0,235
2016,1398.0,6346
2011,431405.0,39470478
2008,1211149.0,3299000
2015,600.0,420
2009,2835.0,20716
2017,147.0,43
2019,841.0,858
2016,3231.0,47561
2000,235.0,75
2019,336850.0,378700
2013,25.0,229
1999,49713.0,88397
2002,3481.0,2069
2013,803800.0,926400
2018,17.0,16
2014,2608100.0,1524400
2011,1206528.0,3433881
2012,160000.0,581000
2005,4773.0,9198
2018,3210.0,2920
2013,3570.0,2150
2006,623.0,158
2006,1148.0,1598
2012,105117.0,285835
2009,58476.0,31230
2019,551.0,411
2012,8361.0,13771
2018,255145.0,443992
2006,23827.0,1377
2017,6100.0,11600
2013,2040.0,1750
2018,716.0,763
2006,89500.0,39200
2014,5220.0,10310
1998,113783.0,99516
2010,1034600.0,1123500
2009,27726.0,20392
2016,14653.0,81224
2005,43.0,20
2019,3365.0,0
2006,18595.0,135725000
2018,261.0,256
2011,439.0,420
2011,4321.0,393
2005,344587.0,140019
2006,13726.0,29025
2019,35.0,0
2000,6000.0,5000
2017,12968.0,2060
2000,1534.0,1266
2012,12780.0,297900
2015,2852.0,2016
2013,9189.0,23831
2003,1695.0,432
2014,5553.0,8444
2014,10038.0,9433
2002,814.0,11121
2014,67835.0,47654
1999,30245.0,17032
2011,59069.4,514054
2009,75065.0,97660
2006,13135.0,14974
2018,1840.0,1230
2020,3.0,6
2019,2.0,26
1997,7500.0,12500
2015,4154.0,3333
2015,9911.0,65979
2019,4913.0,2948
2006,2640.0,4600
2001,2080.0,2080
2007,520.0,19071
2018,224.7,272
2019,249147.0,274809
2016,855.0,1749
2013,300644.0,271380
2010,1074.0,872
2007,1092800.0,88437200
2006,50.0,18
2016,6300.0,19500
2017,15559.0,135147
2008,527000.0,2285000
2008,359961.0,381180
2018,26783.0,22628
1999,5760.0,4164
1999,118465.0,38477
2004,403.0,112
2004,97851.0,139927
2005,229960.0,17656395
2017,727642.0,1486852
2017,235.0,186
2011,237700.0,257140
2009,11938.0,9884
2004,400093.0,841471
2005,63.0,89
1999,934448.0,560326
2004,4300.0,3600
2008,39.0,12
2016,290655.0,338322
2000,2020.0,1594
2018,1184.0,593
2004,930.0,628
2014,31.0,19
1997,2465.0,11728
1998,100561.0,28577
2004,233322.0,119694
2009,298.0,288
2000,1783.0,662
2018,3665.0,38682
2016,2273.0,7
2016,5620.0,52433
2016,49138.0,32055
2005,562270.0,645985
2018,4141378.0,6509430
2019,1880.0,16010
1999,751.0,500
2007,3.0,5
2010,28900.0,173200
2015,4349.0,974
2019,18231.0,24032
2011,2574.0,1740
2010,18200.0,16800
2016,456.0,878
2015,24595.0,67107
2009,14268.0,18975
2005,379237.0,642216
2008,847300.0,984800
2017,5265.0,1149
2018,210.0,498
2006,134069.0,18350
2004,60000.0,62000
2017,3458.0,7622
2003,85143.0,56879
2007,536.0,322
2004,468.0,317
2007,27507.0,22691
1998,63042.0,14750
2006,385.0,578
2017,963.0,0
2014,12453.0,76149
2008,6765.0,5143
2018,9155.0,5315
2016,4800.0,13400
2003,478726.0,244136
2002,296.0,427
2010,12859.0,84686
2018,5289.0,7828
2009,76.0,206
2001,41785.0,23243
2015,32370.0,36170
2007,1.0,1
2008,3889.0,24702
2012,5995.2,7769
1999,570.0,330
2006,9523.0,6745
2020,13.0,9
2006,554193.0,584337
2005,6350.0,5430
2016,32118.0,21654
2002,320.0,10450
2000,15432.0,17947
2004,2530.0,1100
2006,12863.0,7757
2002,17749.0,5600
2014,42616.0,46996
2017,400000.0,37460951
2001,2420.0,1910
